split,model,dataset,n_rows,r2,mae,rmse
interpolation,linear,train,536,0.47775633080657753,0.1377378748704803,0.18652887534331625
interpolation,linear,test,134,0.5526205823202808,0.14878282182326158,0.193161406311929
interpolation,random_forest,train,536,0.9825840407442027,0.023387597367815597,0.034063022365743024
interpolation,random_forest,test,134,0.9611435956484216,0.037542676245429445,0.05692639259789336
interpolation,physics_baseline,test,54,0.9999999999999986,6.502294213349978e-09,7.246278218493419e-09
extrapolation_qubit_count,linear,train,490,0.46192741083129074,0.13042719611092285,0.175478925181349
extrapolation_qubit_count,linear,test,180,0.4234102892055348,0.1796269525101019,0.23545739808999747
extrapolation_qubit_count,random_forest,train,490,0.9820715470446872,0.021640905479039636,0.03203140136771417
extrapolation_qubit_count,random_forest,test,180,0.9342656100092437,0.0608212701329908,0.07950148026623685
extrapolation_qubit_count,physics_baseline,test,72,0.9999999999999986,6.480793955500176e-09,7.118872782535481e-09
extrapolation_depth,linear,train,410,0.5892429541281481,0.118886880381123,0.16751176437417317
extrapolation_depth,linear,test,260,-0.3691641066725677,0.21686160698144266,0.30563167351337023
extrapolation_depth,random_forest,train,410,0.9891622733662153,0.01838735518156308,0.02720958376621242
extrapolation_depth,random_forest,test,260,0.8754913233888777,0.06638044151375609,0.09216593119262695
extrapolation_depth,physics_baseline,test,104,0.9999999999999981,7.147095775248926e-09,7.783954009160748e-09
